SG_UF,CO_MACRORREGIONAL,NO_MACRORREGIONAL,CO_CIR,NO_CIR_PADRAO,CO_MUNICIPIO_IBGE,NO_MUNICIPIO,POP2021,,obs
MT,5.105,MACRORREGIAO CENTRO-NORTE,51.002,BAIXADA CUIABANA,510010,ACORIZAL,5.309,,
MT,5.104,MACRORREGIAO LESTE,51.006,MEDIO ARAGUAIA,510020,AGUA BOA,26.679,,
MT,5.103,MACRORREGIAO NORTE ,51.001,ALTO TAPAJOS,510025,ALTA FLORESTA,52.105,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510030,ALTO ARAGUAIA,19.714,,
MT,5.104,MACRORREGIAO LESTE,51.009,NORTE ARAGUAIA KARAJA,510035,ALTO BOA VISTA,7.092,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510040,ALTO GARCAS,12.323,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.004,CENTRO NORTE,510050,ALTO PARAGUAI,11.587,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510060,ALTO TAQUARI,11.413,,
MT,5.103,MACRORREGIAO NORTE ,51.001,ALTO TAPAJOS,510080,APIACAS,10.431,,
MT,5.104,MACRORREGIAO LESTE,51.005,GARCAS ARAGUAIA,510100,ARAGUAIANA,3.064,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510120,ARAGUAINHA,909,,
MT,5.102,MACRORREGIAO OESTE,51.011,OESTE MATOGROSSENSE,510125,ARAPUTANGA,17.078,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.007,MEDIO NORTE MATOGROSSENSE,510130,ARENAPOLIS,9.399,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.008,NOROESTE MATOGROSSENSE,510140,ARIPUANA,23.067,,
MT,5.105,MACRORREGIAO CENTRO-NORTE,51.002,BAIXADA CUIABANA,510160,BARAO DE MELGACO,8.165,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.007,MEDIO NORTE MATOGROSSENSE,510170,BARRA DO BUGRES,35.642,,
MT,5.104,MACRORREGIAO LESTE,51.005,GARCAS ARAGUAIA,510180,BARRA DO GARCAS,61.702,,
MT,5.104,MACRORREGIAO LESTE,51.006,MEDIO ARAGUAIA,510185,BOM JESUS DO ARAGUAIA,6.830,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.008,NOROESTE MATOGROSSENSE,510190,BRASNORTE,20.571,,
MT,5.102,MACRORREGIAO OESTE,51.011,OESTE MATOGROSSENSE,510250,CACERES,95.339,,
MT,5.104,MACRORREGIAO LESTE,51.005,GARCAS ARAGUAIA,510260,CAMPINAPOLIS,16.223,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.007,MEDIO NORTE MATOGROSSENSE,510263,CAMPO NOVO DO PARECIS,36.917,,
MT,5.101,MACRORREGIAO SUL ,51.013,SUL MATOGROSSENSE,510267,CAMPO VERDE,44.033,,
MT,5.102,MACRORREGIAO OESTE,51.012,SUDOESTE MATOGROSSENSE,510268,CAMPOS DE JULIO,7.245,,
MT,5.104,MACRORREGIAO LESTE,51.003,ARAGUAIA XINGU,510269,CANABRAVA DO NORTE,4.711,,
MT,5.104,MACRORREGIAO LESTE,51.006,MEDIO ARAGUAIA,510270,CANARANA,22.101,,
MT,5.103,MACRORREGIAO NORTE ,51.001,ALTO TAPAJOS,510279,CARLINDA,10.094,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.008,NOROESTE MATOGROSSENSE,510285,CASTANHEIRA,8.782,,
MT,5.105,MACRORREGIAO CENTRO-NORTE,51.002,BAIXADA CUIABANA,510300,CHAPADA DOS GUIMARAES,22.521,,
MT,5.103,MACRORREGIAO NORTE ,51.014,TELES PIRES,510305,CLAUDIA,12.338,,
MT,5.104,MACRORREGIAO LESTE,51.006,MEDIO ARAGUAIA,510310,COCALINHO,5.716,,
MT,5.103,MACRORREGIAO NORTE ,51.010,NORTE MATOGROSSENSE,510320,COLIDER,33.855,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.008,NOROESTE MATOGROSSENSE,510325,COLNIZA,41.117,,
MT,5.102,MACRORREGIAO OESTE,51.012,SUDOESTE MATOGROSSENSE,510330,COMODORO,21.249,,
MT,5.104,MACRORREGIAO LESTE,51.003,ARAGUAIA XINGU,510335,CONFRESA,32.076,,
MT,5.102,MACRORREGIAO OESTE,51.012,SUDOESTE MATOGROSSENSE,510336,CONQUISTA D'OESTE,4.163,,
MT,5.106,MACRORREGIÃO CENTRO-NOROESTE,51.008,NOROESTE MATOGROSSENSE,510337,COTRIGUACU,20.717,,
MT,5.105,MACRORREGIAO CENTRO-NORTE,51.002,BAIXADA CUIABANA,510340,CUIABA,623.614,,
